ID,Label,Supertype Id,Is RO-Crate,Sub Class of,Comment
Project,Project,,Y,prov:Activity,
ProjectOutput,Project Output,owl:Thing,,frapo:Output,
Component,Component,Project Output,,frapo:MaterialOutput,
Dataset,Dataset,Component,,fabio:Dataset,
Registry,Registry,Component,,fabio:Catalog,
RequirementsCollection,Requirements Collection,Component,,fabio:Specification,
Workflow,Workflow,Component,,,
Software,Software,Component,,fabio:ComputerProgram,
Service,Service,Component,,fabio:API ?,
Tutorial,Tutorial,Component,,fabio:InstructionalWork,
Web site,Web site,Component,,fabio:WebSite,
Survey,Survey,Component,,fabio:Questionnaire,
EcosystemWebsite,Ecosystem Website,Web site,,fabio:Wiki ?,
SoftwareLibrary,Software Library,Software,,fabio:Script,
DockerImageContainer,Docker Image Container,Software,,fabio:ComputerApplication,
RunningInstance,Running Instance,Software,,fabio:ComputerApplication,
Ontology,Ontology,Software,,fabio:Ontology,
Notebook,Notebook,Software,,fabio:Script,
Script,Script,Software,,fabio:Script,
KnowledgeGraph,Knowledge Graph,Data,,fabio:Dataset,
InPresenceSurvey,In presence survey,Survey,,fabio:Questionnaire,
FocusGroup,Focus Group,Survey,,fabio:Questionnaire,
Story,Story,Requirements Collection,,fabio:MetadataDocument,
Persona,Persona,Requirements Collection,,fabio:MetadataDocument,
Report,Report,Project Output,,fabio:Report,
Deliverable,Deliverable,Report ,,fabio:ProjectReport,
Documentation,Documentation,Report,,fabio:InstructionalWork,
EvaluationReport,Evaluation Report,Report,,,
Publication,Publication,Project Output,,"fabio:JournalArticle 
fabio:Book",
WorkingGroup,Working Group,prov:Agent,,frapo:Division / frapo:ResearchGroup,
WorkPackage,Work Package,prov:Activity,,fabio:WorkPackage,
Task,Task,prov:Activity,,frapo:Investigation,
UseCase,Use Case,prov:Activity,,frapo:Investigation,
Pilot,Pilot,prov:Activity,,frapo:Investigation,
